xs,ys,zs,xd,yd,zd,x,y,z
6.452,1.461,0.06142,-35.05,10.74,15.93,,,
-13.04,3.937,39.89,14.34,14.05,19.48,14.53761351,14.12298997,19.33269205
-13.04,3.937,39.89,-11.62,13.49,16.99,-11.62262183,13.47236176,17.03228155
-13.04,3.937,39.89,-26.82,2.332,-38.94,-25.47360232,2.488819179,-31.23778451
-13.04,3.937,39.89,4.984,2.532,-38.74,-12.39858413,3.887000594,37.09181258
-13.04,3.937,39.89,52.84,20.79,-2.939,16.31960832,11.44758711,20.80313502
-13.04,3.937,39.89,6.548,17.06,-18.67,6.573522262,17.07709866,-18.74630098
-13.04,3.937,39.89,46.28,8.785,26.2,21.4037612,6.751958771,31.94099307
-10.76,0.06819,-33.04,14.34,14.05,19.48,-6.939524982,2.196363538,-25.04592239
-10.76,0.06819,-33.04,-11.62,13.49,16.99,-11.62072677,13.50134248,17.03227927
-10.76,0.06819,-33.04,-26.82,2.332,-38.94,-61.48933106,7.218972499,-51.67655375
-10.76,0.06819,-33.04,52.84,20.79,-2.939,5.522670308,5.373322082,-25.33363744
-10.76,0.06819,-33.04,6.548,17.06,-18.67,-8.44826833,2.33768996,-31.12068037
-10.76,0.06819,-33.04,46.28,8.785,26.2,19.61168387,4.70956794,-1.496897746
-5.51,0.1178,70.86,14.34,14.05,19.48,14.54060566,14.19079991,18.96074969
-5.51,0.1178,70.86,-11.62,13.49,16.99,-7.281146853,3.994089681,55.24434027
-5.51,0.1178,70.86,-26.82,2.332,-38.94,-14.01494505,1.001500109,27.03818083
-5.51,0.1178,70.86,4.984,2.532,-38.74,5.757781136,2.710012428,-46.82141914
-5.51,0.1178,70.86,52.84,20.79,-2.939,38.38900532,15.67031102,15.33810294
-5.51,0.1178,70.86,6.548,17.06,-18.67,6.558268292,17.07442755,-18.74624151
-5.51,0.1178,70.86,46.28,8.785,26.2,90.58019348,16.19876013,-12.00132537
22.1,10.56,4.901,14.34,14.05,19.48,19.37591225,11.7851374,10.01884476
22.1,10.56,4.901,-11.62,13.49,16.99,7.697354422,11.81147543,10.06451075
22.1,10.56,4.901,-26.82,2.332,-38.94,-40.46159094,0.03758033,-51.16528594
22.1,10.56,4.901,4.984,2.532,-38.74,7.020828545,3.487343513,-33.54665842
